com,model_id
"blue box",1
mirantis,1
cloudwatt,1
"zte corporation",1
hp,1
thales,1
"betacloud solutions gmbh",1
"piston cloud",1
nokia,1
99cloud,1
"red hat",1
cloudscaling,1
internap,1
rackspace,1
metacloud,1
iweb,1
osones,1
huawei,1
netease,1
dell,1
awcloud,1
nebula,1
sina,1
unitedstack,1
"kylin cloud",1
"b1 systems gmbh",1
t2cloud,1
ibm,1
suse,1
inspur,1
hpe,1
nec,1
h3c,1
"cisco systems",1
canonical,1
easystack,1
aptira,1
enovance,1
akanda,2
"zadara storage",2
"cloudbase solutions",2
midokura,2
"pure storage",2
gohighsec,2
swiftstack,2
fathomdb,2
solidfire,2
tesora,2
stackstorm,2
dreamhost,2
netapp,2
emc,3
"a10 networks",3
mellanox,3
citrix,3
juniper,3
vmware,3
scality,3
plumgrid,3
fujitsu,3
oracle,3
intel,3
sap,3
"big switch networks",3
radware,3
brocade,3
"arista networks",3
infoblox,3
hitachi,3
inwinstack,4
"objectif libre",4
codethink,4
cloudbau,4
"va linux",4
rackspace,5
"the university of melbourne",5
ericsson,5
"sony mobile communications",5
"nimbis services",5
"time warner cable",5
walmart,5
"china mobile",5
nectar,5
bloomberg,5
yahoo!,5
comcast,5
cern,5
symantec,5
ebay,5
samsung,5
at&t,5
orange,5
godaddy,5
workday,5
"deutsche telekom",5
ntt,5
sberbank,5
"openstack foundation",6
"wikimedia foundation",6
"the linux foundation",6
chef,7
collabnet,7
google,7
"puppet labs",7
bitergia,8
"portland state university",8
"johns hopkins university applied physics laboratory",8
"universidade federal de campina grande",8
"oregon state university",8
"university of ljubljana faculty of computer and information science",8
"clayton state university",8
"tunnel vision laboratories",8
"boston university",8
